PLAYER,FIRST_NAME,LAST_NAME,POS,YEAR,RNK,STAR,247_SCORE,COLLEGE,CITY,STATE,LAT,LNG,HIGH_SCHOOL
Emmanuel Yeager,Emmanuel,Yeager,DUAL,2009,916,3,0.851,New Mexico,Washington,DC,38.8949549,-77.0366456,Coolidge
Joelil Thrash,Joelil,Thrash,CB,2009,1512,3,0.8111,Illinois,Washington,DC,38.8949549,-77.0366456,Woodson H.D.
Javon Gillespie,Javon,Gillespie,S,2009,2135,2,0.7444,Eastern Michigan,Washington,DC,38.8949549,-77.0366456,Friendship Academy
Javarie Johnson,Javarie,Johnson,OLB,2010,220,4,0.9148,Maryland,Washington,DC,38.8949549,-77.0366456,Dunbar
Nathaniel Clarke,Nathaniel,Clarke,OG,2010,279,4,0.9,Maryland,Washington,DC,38.8949549,-77.0366456,Archbishop Carroll
Nate Clarke,Nate,Clarke,OT,2010,636,3,0.8667,Maryland,Washington,DC,38.8949549,-77.0366456,Archbishop Carroll
Ricardo Young,Ricardo,Young,DUAL,2010,841,3,0.859,Virginia Tech,Washington,DC,38.8949549,-77.0366456,Woodson H.D.
Jeremiah Attaochu,Jeremiah,Attaochu,OLB,2010,1073,3,0.851,Georgia Tech,Washington,DC,38.8949549,-77.0366456,Archbishop Carroll
Don Hursey,Don,Hursey,CB,2010,1294,3,0.8417,Texas Tech,Washington,DC,38.8949549,-77.0366456,Woodson H.D.
Andre Monroe,Andre,Monroe,DT,2010,1322,3,0.8399,Maryland,Washington,DC,38.8949549,-77.0366456,St. John's College HS
Josh Ford,Josh,Ford,WR,2010,1374,3,0.8368,New Mexico,Washington,DC,38.8949549,-77.0366456,Coolidge
Joshua Ford,Joshua,Ford,WR,2010,1380,3,0.8356,New Mexico,Washington,DC,38.8949549,-77.0366456,Coolidge
Martize Barr,Martize,Barr,WR,2010,1545,3,0.8306,New Mexico,Washington,DC,38.8949549,-77.0366456,Coolidge
Chrishon Rose,Chrishon,Rose,DT,2010,1978,3,0.7972,East Carolina,Washington,DC,38.8949549,-77.0366456,Bishop McNamara
Earl Johnson,Earl,Johnson,OT,2010,2349,2,0.7667,New Mexico,Washington,DC,38.8949549,-77.0366456,Friendship Academy
Kevin McReynolds,Kevin,McReynolds,DT,2011,339,3,0.8786,UCLA,Washington,DC,38.8949549,-77.0366456,St. John's College HS
Kevin Hogan,Kevin,Hogan,PRO,2011,356,3,0.8764,Stanford,Washington,DC,38.8949549,-77.0366456,Gonzaga
Vance Roberts,Vance,Roberts,CB,2011,368,3,0.8752,West Virginia,Washington,DC,38.8949549,-77.0366456,Dunbar
Boye Aromire,Boye,Aromire,CB,2011,534,3,0.8609,Virginia Tech,Washington,DC,38.8949549,-77.0366456,Woodson H.D.
Jamar Lewter,Jamar,Lewter,OT,2011,594,3,0.8573,Marshall,Washington,DC,38.8949549,-77.0366456,Ballou
Vernard Roberts,Vernard,Roberts,APB,2011,620,3,0.8563,West Virginia,Washington,DC,38.8949549,-77.0366456,Dunbar
Lamonte Clark,Lamonte,Clark,DT,2011,890,3,0.8409,Kansas State,Washington,DC,38.8949549,-77.0366456,Ballou
Malcolm Crockett,Malcolm,Crockett,RB,2011,1078,3,0.8316,Pittsburgh,Washington,DC,38.8949549,-77.0366456,Friendship Academy
Darius Redman,Darius,Redman,TE,2011,1175,3,0.8226,Virginia Tech,Washington,DC,38.8949549,-77.0366456,Woodson H.D.
Josh Wade,Josh,Wade,DT,2011,1259,3,0.8166,NoCollege,Washington,DC,38.8949549,-77.0366456,McKinley Technology
Sherrard Harrington,Sherrard,Harrington,S,2011,1378,3,0.8071,Colorado,Washington,DC,38.8949549,-77.0366456,Woodson H.D.
Avery Williams,Avery,Williams,ATH,2011,1654,2,0.7799,West Virginia,Washington,DC,38.8949549,-77.0366456,Coolidge
Jabari Thomas,Jabari,Thomas,S,2011,2123,2,0.7482,NoCollege,Washington,DC,38.8949549,-77.0366456,Archbishop Carroll
Larenzo Fisher,Larenzo,Fisher,CB,2011,2128,2,0.7482,Ohio,Washington,DC,38.8949549,-77.0366456,Friendship Academy
Charles Bailey,Charles,Bailey,ILB,2011,2185,2,0.7399,NoCollege,Washington,DC,38.8949549,-77.0366456,Friendship Academy
Denzell Stanback,Denzell,Stanback,TE,2011,2617,2,0.7299,NoCollege,Washington,DC,38.8949549,-77.0366456,Friendship Academy
Eddie Goldman,Eddie,Goldman,DT,2012,10,5,0.9944,Florida State,Washington,DC,38.8949549,-77.0366456,Friendship Academy
Ken Crawley,Ken,Crawley,CB,2012,363,4,0.8919,Colorado,Washington,DC,38.8949549,-77.0366456,Woodson H.D.
Albert Reid,Albert,Reid,ATH,2012,627,3,0.8701,Maryland,Washington,DC,38.8949549,-77.0366456,Friendship Academy
Sean Davis,Sean,Davis,CB,2012,682,3,0.8657,Maryland,Washington,DC,38.8949549,-77.0366456,Maret School
Derrick Nelson,Derrick,Nelson,OT,2012,1321,3,0.8221,Rutgers,Washington,DC,38.8949549,-77.0366456,Archbishop Carroll
De'Jon Wilson,De'Jon,Wilson,SDE,2012,1348,3,0.8206,Colorado,Washington,DC,38.8949549,-77.0366456,Woodson H.D.
Elijah Norris,Elijah,Norris,TE,2012,1472,3,0.8134,Connecticut,Washington,DC,38.8949549,-77.0366456,Archbishop Carroll
Benjamin ONett,Benjamin,ONett,PRO,2012,1967,2,0.7839,Monmouth,Washington,DC,38.8949549,-77.0366456,St. John's College HS
Isaiah Hayes,Isaiah,Hayes,WR,2012,2307,2,0.7667,NoCollege,Washington,DC,38.8949549,-77.0366456,Friendship Academy
Jarid Brown,Jarid,Brown,ATH,2012,2557,2,0.7581,Ohio,Washington,DC,38.8949549,-77.0366456,Archbishop Carroll
Dayon Pratt,Dayon,Pratt,ATH,2012,2585,2,0.7531,East Carolina,Washington,DC,38.8949549,-77.0366456,Coolidge
John Walker,John,Walker,CB,2012,2851,2,0.7333,Colorado,Washington,DC,38.8949549,-77.0366456,Woodson H.D.
Ryan Mallett,Ryan,Mallett,PRO,2007,5,5,0.9978,Michigan,Texarkana,TX,33.425125,-94.0476882,Texas High
Joseph Anderson,Joseph,Anderson,WR,2007,1191,3,0.8111,Louisiana Tech,Texarkana,TX,33.425125,-94.0476882,Texas High
Brandon Tolbert,Brandon,Tolbert,OLB,2007,2042,2,0.7222,Rice,Texarkana,TX,33.425125,-94.0476882,Texas High
LaMike James,LaMike,James,RB,2008,464,3,0.8736,Oregon,Texarkana,TX,33.425125,-94.0476882,Liberty-Eylau
Cobi Hamilton,Cobi,Hamilton,WR,2009,463,3,0.8764,Arkansas,Texarkana,TX,33.425125,-94.0476882,Texas High
Jacoby Thomas,Jacoby,Thomas,WDE,2009,891,3,0.8528,Kansas,Texarkana,TX,33.425125,-94.0476882,Texas High
C.J. Broades,C.J.,Broades,S,2009,1949,2,0.7667,Louisiana Tech,Texarkana,TX,33.425125,-94.0476882,Pleasant Grove
Nathan Sorenson,Nathan,Sorenson,DUAL,2010,682,3,0.8653,Oklahoma State,Texarkana,TX,33.425125,-94.0476882,Texas High
Marqueston Huff,Marqueston,Huff,CB,2010,1223,3,0.8448,Wyoming,Texarkana,TX,33.425125,-94.0476882,Liberty-Eylau
Antonio Graves,Antonio,Graves,ATH,2010,1441,3,0.8333,TCU,Texarkana,TX,33.425125,-94.0476882,Pleasant Grove
Malcolm Edmond,Malcolm,Edmond,SDE,2010,2433,2,0.7333,Louisiana-Monroe,Texarkana,TX,33.425125,-94.0476882,Liberty-Eylau
Tra Carson,Tra,Carson,RB,2011,340,3,0.8786,Oregon,Texarkana,TX,33.425125,-94.0476882,Liberty-Eylau
Kody Sutton,Kody,Sutton,RB,2011,2309,2,0.7333,Wyoming,Texarkana,TX,33.425125,-94.0476882,Texas High
Edwin Hooper,Edwin,Hooper,WDE,2011,2488,2,0.7333,Rice,Texarkana,TX,33.425125,-94.0476882,Texas High
Trey Norman,Trey,Norman,ATH,2011,2550,2,0.7333,Wyoming,Texarkana,TX,33.425125,-94.0476882,Liberty-Eylau
John Michael McGee,John,Michael McGee,OG,2012,168,4,0.9312,Oklahoma,Texarkana,TX,33.425125,-94.0476882,Texas High
