Rnd,Pick,Tm,Player,Pos,Age,To,College/Univ
5,164,BAL,Chykie Brown\BrowCh05,DB,24,2016,Texas
5,165,BAL,Pernell McPhee\McPhPe00,DE,22,2017,Mississippi St.
6,166,CAR,Lawrence Wilson\WilsLa01,LB,23,,Central Connecticut St.
6,167,CIN,Ryan Whalen\WhalRy00,WR,22,2013,Stanford
6,168,MIN,Demarcus Love\LoveDe00,OL,23,2014,Arkansas
6,169,BUF,Chris White\WhitCh03,LB,22,2014,Mississippi St.
6,170,MIN,Mistral Raymond\RaymMi00,DB,24,2014,South Florida
6,171,ARI,Quan Sturdivant\SturQu00,LB,22,2012,North Carolina
6,172,MIN,Brandon Fusco\FuscBr00,C,23,2017,Slippery Rock
6,173,SEA,Byron Maxwell\MaxwBy00,DB,23,2017,Clemson
6,174,MIA,Charles Clay\ClayCh00,TE,22,2017,Tulsa
6,175,TEN,Byron Stingily\StinBy00,T,23,2014,Louisville
6,176,DAL,Dwayne Harris\HarrDw00,WR,24,2017,East Carolina
6,177,WAS,Evan Royster\RoysEv00,RB,23,2013,Penn St.
6,178,WAS,Aldrick Robinson\RobiAl00,WR,23,2017,SMU
6,179,GNB,Caleb Schlauderaff\SchlCa00,G,23,2013,Southern Utah
6,180,BAL,Tyrod Taylor\TaylTy00,QB,22,2017,Virginia Tech
6,181,OAK,Richard Gordon\GordRi00,TE,24,2015,Miami (FL)
6,182,SFO,Ronald Johnson\JohnRo05,WR,23,2012,USC
6,183,SDG,Jordan Todman\TodmJo00,RB,21,2017,Connecticut
6,184,ARI,David Carter\CartDa01,DT,23,2013,UCLA
6,185,NYG,Greg Jones\JoneGr02,LB,22,2012,Michigan St.
6,186,GNB,D.J. Smith\SmitD.00,LB,22,2014,Appalachian St.
6,187,TAM,Allen Bradford\BradAl00,RB,23,2015,USC
6,188,IND,Chris Rucker\RuckCh00,DB,22,2011,Michigan St.
6,189,DEN,Mike Mohamed\MohaMi00,LB,23,2015,California
6,190,SFO,Colin Jones\JoneCo01,DB,23,2017,TCU
6,191,PHI,Jason Kelce\KelcJa00,C,23,2017,Cincinnati
6,192,ATL,Matthew Bosher\BoshMa00,K,23,2017,Miami (FL)
6,193,PHI,Brian Rolle\RollBr00,LB,22,2012,Ohio St.
6,194,NWE,Markell Carter\CartMa01,LB,21,,Central Arkansas
6,195,CHI,J.T. Thomas\ThomJ.02,LB,23,2017,West Virginia
6,196,PIT,Keith Williams\WillKe04,G,23,2012,Nebraska
6,197,GNB,Ricky Elmore\ElmoRi00,DL,23,2012,Arizona
6,198,NYG,Tyler Sash\SashTy00,DB,23,2012,Iowa
6,199,KAN,Jerrell Powe\PoweJe00,DT,24,2014,Mississippi
6,200,MIN,Ross Homan\HomaRo00,LB,24,,Ohio St.
6,201,SDG,Stephen Schilling\SchiSt00,G,23,2014,Michigan
6,202,NYG,Jacquian Williams\WillJa02,LB,23,2014,South Florida
6,203,CAR,Zachary Williams\WillZa00,OL,22,,Washington St.
7,204,DEN,Virgil Green\GreeVi00,TE,23,2017,Nevada
7,205,SEA,Lazarius Levingston\LeviLa00,DL,23,2012,LSU
7,206,BUF,Justin Rogers\RogeJu00,DB,23,2015,Richmond
7,207,CIN,Korey Lindsey\LindKo00,DB,22,2012,Southern Illinois
7,208,NYJ,Greg McElroy\McElGr00,QB,23,2012,Alabama
7,209,DET,Johnny Culbreath\CulbJo00,OL,23,,South Carolina St.
7,210,ATL,Andrew Jackson\JackAn00,OL,22,2012,Fresno St.
7,211,SFO,Bruce Miller\MillBr02,DE,24,2015,Central Florida
7,212,TEN,Zach Clayton\ClayZa00,DT,23,2012,Auburn
7,213,WAS,Brandyn Thompson\ThomBr00,DB,21,2011,Boise St.
7,214,HOU,Derek Newton\NewtDe00,T,23,2016,Arkansas St.
7,215,MIN,D'Aundre Reed\ReedD'00,DE,23,2012,Arizona
7,216,STL,Mikail Baker\BakeMi00,DB,24,,Baylor
7,217,WAS,Maurice Hurt\HurtMa00,G,24,2012,Florida
7,218,GNB,Ryan Taylor\TaylRy00,TE,23,2014,North Carolina
7,219,NWE,Malcolm Williams\WillMa01,DB,23,2012,TCU
7,220,DAL,Shaun Chapas\ChapSh00,RB,23,2012,Georgia
7,221,NYG,Da'Rel Scott\ScotDa01,RB,23,2013,Maryland
7,222,TAM,Anthony Gaitor\GaitAn00,DB,22,2014,Florida International
7,223,KAN,Shane Bannon\BannSh00,RB,22,,Yale
7,224,WAS,Markus White\WhitMa01,DE,23,2012,Florida St.
7,225,BAL,Anthony Allen\AlleAn01,RB,23,2012,Georgia Tech
7,226,NOR,Greg Romeus\RomeGr00,DL,23,2012,Pittsburgh
7,227,NYJ,Scotty McKnight\McKnSc00,WR,23,,Colorado
